id,project_id,employee_id,role_on_project,allocation_pct,start_date,end_date,is_active
assignment-emp-15-1,proj-8,emp-15,Référent,60,2026-03-07,,true
assignment-emp-16-1,proj-22,emp-16,Référent,60,2026-01-10,,true
assignment-emp-16-2,proj-12,emp-16,Contributeur,30,2026-01-08,,true
assignment-emp-17-1,proj-21,emp-17,Référent,60,2026-02-24,,true
assignment-emp-17-2,proj-15,emp-17,Contributeur,30,2026-02-04,,true
assignment-emp-18-1,proj-2,emp-18,Référent,60,2026-01-15,,true
assignment-emp-18-2,proj-15,emp-18,Contributeur,30,2026-04-04,,true
assignment-emp-19-1,proj-12,emp-19,Référent,60,2025-12-31,,true
assignment-emp-19-2,proj-11,emp-19,Contributeur,30,2026-03-05,,true
assignment-emp-20-1,proj-20,emp-20,Référent,60,2026-01-26,,true
assignment-emp-20-2,proj-13,emp-20,Contributeur,30,2026-01-08,,true
assignment-emp-21-1,proj-17,emp-21,Référent,60,2026-04-06,,true
assignment-emp-21-2,proj-16,emp-21,Contributeur,30,2026-02-16,,true
assignment-emp-22-1,proj-11,emp-22,Référent,60,2026-02-26,,true
assignment-emp-22-2,proj-23,emp-22,Contributeur,30,2026-01-14,,true
assignment-emp-23-1,proj-1,emp-23,Référent,60,2026-05-28,,true
assignment-emp-24-1,proj-5,emp-24,Référent,60,2026-01-23,,true
assignment-emp-25-1,proj-5,emp-25,Référent,60,2026-05-30,,true
assignment-emp-25-2,proj-15,emp-25,Contributeur,30,2026-03-16,,true
assignment-emp-26-1,proj-20,emp-26,Référent,60,2026-05-02,,true
assignment-emp-26-2,proj-23,emp-26,Contributeur,30,2026-01-05,,true
assignment-emp-27-1,proj-4,emp-27,Référent,60,2026-02-28,,true
assignment-emp-27-2,proj-1,emp-27,Contributeur,30,2026-02-19,,true
assignment-emp-28-1,proj-2,emp-28,Référent,60,2026-04-06,,true
assignment-emp-28-2,proj-1,emp-28,Contributeur,30,2026-03-27,,true
assignment-emp-29-1,proj-13,emp-29,Référent,60,2026-05-29,,true
assignment-emp-29-2,proj-15,emp-29,Contributeur,30,2026-01-26,,true
assignment-emp-30-1,proj-6,emp-30,Référent,60,2026-03-31,,true
assignment-emp-30-2,proj-11,emp-30,Contributeur,30,2026-06-04,,true
assignment-emp-31-1,proj-23,emp-31,Référent,60,2026-05-26,,true
assignment-emp-31-2,proj-8,emp-31,Contributeur,30,2026-04-04,,true
assignment-emp-32-1,proj-23,emp-32,Référent,60,2026-04-05,,true
assignment-emp-32-2,proj-15,emp-32,Contributeur,30,2026-02-23,,true
assignment-emp-33-1,proj-8,emp-33,Référent,60,2026-04-12,,true
assignment-emp-34-1,proj-6,emp-34,Référent,60,2026-01-04,,true
assignment-emp-34-2,proj-2,emp-34,Contributeur,30,2026-05-03,,true
assignment-emp-35-1,proj-1,emp-35,Référent,60,2026-02-14,,true
assignment-emp-35-2,proj-6,emp-35,Contributeur,30,2026-04-02,,true
assignment-emp-36-1,proj-10,emp-36,Référent,60,2026-01-13,,true
assignment-emp-36-2,proj-14,emp-36,Contributeur,30,2026-01-12,,true
assignment-emp-37-1,proj-14,emp-37,Référent,60,2025-12-22,,true
assignment-emp-38-1,proj-13,emp-38,Référent,60,2026-01-24,,true
assignment-emp-38-2,proj-1,emp-38,Contributeur,30,2026-04-08,,true
assignment-emp-39-1,proj-4,emp-39,Référent,60,2026-03-18,,true
assignment-emp-39-2,proj-16,emp-39,Contributeur,30,2026-05-03,,true
assignment-emp-40-1,proj-3,emp-40,Référent,60,2026-02-14,,true
assignment-emp-40-2,proj-17,emp-40,Contributeur,30,2026-05-10,,true
assignment-emp-41-1,proj-20,emp-41,Référent,60,2026-03-02,,true
assignment-emp-42-1,proj-8,emp-42,Référent,60,2026-04-23,,true
assignment-emp-42-2,proj-23,emp-42,Contributeur,30,2026-02-06,,true
assignment-emp-43-1,proj-11,emp-43,Référent,60,2026-03-15,,true
assignment-emp-43-2,proj-2,emp-43,Contributeur,30,2026-02-22,,true
assignment-emp-44-1,proj-15,emp-44,Référent,60,2026-04-05,,true
assignment-emp-44-2,proj-23,emp-44,Contributeur,30,2026-04-19,,true
assignment-emp-45-1,proj-11,emp-45,Référent,60,2026-03-25,,true
assignment-emp-45-2,proj-23,emp-45,Contributeur,30,2026-04-15,,true
assignment-emp-46-1,proj-4,emp-46,Référent,60,2026-01-30,,true
assignment-emp-47-1,proj-6,emp-47,Référent,60,2026-02-22,,true
assignment-emp-47-2,proj-demo-onboarding,emp-47,Contributeur,30,2026-03-10,,true
assignment-emp-48-1,proj-24,emp-48,Référent,60,2026-03-08,,true
assignment-emp-48-2,proj-18,emp-48,Contributeur,30,2026-05-19,,true
assignment-emp-49-1,proj-21,emp-49,Référent,60,2026-05-29,,true
assignment-emp-49-2,proj-19,emp-49,Contributeur,30,2026-03-17,,true
assignment-emp-50-1,proj-4,emp-50,Référent,60,2026-02-13,,true
assignment-emp-50-2,proj-8,emp-50,Contributeur,30,2026-02-17,,true
assignment-emp-51-1,proj-5,emp-51,Référent,60,2026-04-17,,true
assignment-emp-51-2,proj-13,emp-51,Contributeur,30,2026-03-16,,true
assignment-emp-52-1,proj-15,emp-52,Référent,60,2026-02-09,,true
assignment-emp-52-2,proj-1,emp-52,Contributeur,30,2026-02-23,,true
assignment-emp-53-1,proj-21,emp-53,Référent,60,2026-05-02,,true
assignment-emp-53-2,proj-demo-onboarding,emp-53,Contributeur,30,2026-04-04,,true
assignment-emp-54-1,proj-2,emp-54,Référent,60,2026-03-27,,true
assignment-emp-55-1,proj-3,emp-55,Référent,60,2026-04-19,,true
assignment-emp-56-1,proj-4,emp-56,Référent,60,2026-03-19,,true
assignment-emp-57-1,proj-1,emp-57,Référent,60,2026-03-03,,true
assignment-emp-57-2,proj-5,emp-57,Contributeur,30,2026-03-10,,true
assignment-emp-58-1,proj-11,emp-58,Référent,60,2026-05-04,,true
assignment-emp-59-1,proj-20,emp-59,Référent,60,2026-04-19,,true
assignment-emp-59-2,proj-13,emp-59,Contributeur,30,2026-05-21,,true
assignment-emp-60-1,proj-9,emp-60,Référent,60,2026-05-17,,true
assignment-emp-60-2,proj-17,emp-60,Contributeur,30,2026-02-01,,true
assignment-emp-61-1,proj-9,emp-61,Référent,60,2026-01-08,,true
assignment-emp-62-1,proj-2,emp-62,Référent,60,2026-04-12,,true
assignment-emp-62-2,proj-22,emp-62,Contributeur,30,2026-03-07,,true
assignment-emp-63-1,proj-22,emp-63,Référent,60,2026-03-28,,true
assignment-emp-64-1,proj-20,emp-64,Référent,60,2026-05-11,,true
assignment-emp-64-2,proj-4,emp-64,Contributeur,30,2026-03-31,,true
assignment-emp-65-1,proj-demo-onboarding,emp-65,Référent,60,2026-05-12,,true
assignment-emp-65-2,proj-3,emp-65,Contributeur,30,2025-12-24,,true
assignment-emp-66-1,proj-23,emp-66,Référent,60,2025-12-28,,true
assignment-emp-66-2,proj-3,emp-66,Contributeur,30,2026-06-07,,true
assignment-emp-67-1,proj-2,emp-67,Référent,60,2026-01-20,,true
assignment-emp-67-2,proj-19,emp-67,Contributeur,30,2026-04-28,,true
assignment-emp-68-1,proj-14,emp-68,Référent,60,2025-12-23,,true
assignment-emp-68-2,proj-15,emp-68,Contributeur,30,2026-05-06,,true
assignment-emp-69-1,proj-19,emp-69,Référent,60,2026-04-08,,true
assignment-emp-69-2,proj-14,emp-69,Contributeur,30,2026-03-22,,true
assignment-emp-70-1,proj-14,emp-70,Référent,60,2026-01-07,,true
assignment-emp-70-2,proj-20,emp-70,Contributeur,30,2026-02-10,,true
assignment-emp-71-1,proj-6,emp-71,Référent,60,2025-12-28,,true
assignment-emp-72-1,proj-23,emp-72,Référent,60,2026-01-28,,true
assignment-emp-72-2,proj-24,emp-72,Contributeur,30,2026-04-20,,true
assignment-emp-73-1,proj-6,emp-73,Référent,60,2025-12-26,,true
assignment-emp-73-2,proj-11,emp-73,Contributeur,30,2026-06-09,,true
assignment-emp-74-1,proj-24,emp-74,Référent,60,2026-05-11,,true
assignment-emp-74-2,proj-8,emp-74,Contributeur,30,2026-03-29,,true
assignment-emp-75-1,proj-18,emp-75,Référent,60,2026-05-19,,true
assignment-emp-75-2,proj-22,emp-75,Contributeur,30,2026-01-11,,true
assignment-emp-76-1,proj-20,emp-76,Référent,60,2026-03-07,,true
assignment-emp-76-2,proj-21,emp-76,Contributeur,30,2026-02-05,,true
assignment-emp-77-1,proj-21,emp-77,Référent,60,2026-03-16,,true
assignment-emp-77-2,proj-17,emp-77,Contributeur,30,2026-05-13,,true
assignment-emp-78-1,proj-1,emp-78,Référent,60,2026-05-07,,true
assignment-emp-79-1,proj-2,emp-79,Référent,60,2026-06-07,,true
assignment-emp-80-1,proj-9,emp-80,Référent,60,2026-04-29,,true
assignment-emp-80-2,proj-8,emp-80,Contributeur,30,2026-04-16,,true
assignment-emp-81-1,proj-1,emp-81,Référent,60,2026-02-09,,true
assignment-emp-81-2,proj-7,emp-81,Contributeur,30,2026-05-01,,true
assignment-emp-82-1,proj-6,emp-82,Référent,60,2026-06-03,,true
assignment-emp-82-2,proj-22,emp-82,Contributeur,30,2026-03-29,,true
assignment-emp-83-1,proj-demo-onboarding,emp-83,Référent,60,2026-05-02,,true
assignment-emp-83-2,proj-21,emp-83,Contributeur,30,2026-02-28,,true
assignment-emp-84-1,proj-9,emp-84,Référent,60,2026-01-10,,true
assignment-emp-85-1,proj-1,emp-85,Référent,60,2026-05-21,,true
assignment-emp-85-2,proj-5,emp-85,Contributeur,30,2026-04-18,,true
assignment-emp-86-1,proj-16,emp-86,Référent,60,2026-02-27,,true
assignment-emp-86-2,proj-2,emp-86,Contributeur,30,2026-05-19,,true
assignment-emp-87-1,proj-15,emp-87,Référent,60,2026-05-02,,true
assignment-emp-88-1,proj-12,emp-88,Référent,60,2026-05-08,,true
assignment-emp-88-2,proj-21,emp-88,Contributeur,30,2026-03-08,,true
assignment-emp-89-1,proj-6,emp-89,Référent,60,2026-02-10,,true
assignment-emp-90-1,proj-15,emp-90,Référent,60,2026-04-11,,true
assignment-emp-90-2,proj-16,emp-90,Contributeur,30,2026-03-04,,true
assignment-emp-91-1,proj-9,emp-91,Référent,60,2026-02-08,,true
assignment-emp-91-2,proj-10,emp-91,Contributeur,30,2026-04-27,,true
assignment-emp-92-1,proj-22,emp-92,Référent,60,2026-04-10,,true
assignment-emp-93-1,proj-24,emp-93,Référent,60,2026-04-14,,true
assignment-emp-93-2,proj-8,emp-93,Contributeur,30,2026-02-25,,true
assignment-emp-94-1,proj-11,emp-94,Référent,60,2026-02-04,,true
assignment-emp-94-2,proj-17,emp-94,Contributeur,30,2025-12-28,,true
assignment-emp-95-1,proj-11,emp-95,Référent,60,2025-12-25,,true
assignment-emp-95-2,proj-3,emp-95,Contributeur,30,2026-01-06,,true
assignment-emp-96-1,proj-9,emp-96,Référent,60,2026-02-19,,true
assignment-emp-96-2,proj-8,emp-96,Contributeur,30,2026-01-05,,true
assignment-emp-97-1,proj-10,emp-97,Référent,60,2026-05-24,,true
assignment-emp-97-2,proj-13,emp-97,Contributeur,30,2026-06-08,,true
assignment-emp-98-1,proj-24,emp-98,Référent,60,2025-12-29,,true
assignment-emp-98-2,proj-19,emp-98,Contributeur,30,2026-04-29,,true
assignment-emp-99-1,proj-10,emp-99,Référent,60,2026-05-31,,true
assignment-emp-99-2,proj-14,emp-99,Contributeur,30,2026-01-31,,true
assignment-emp-100-1,proj-12,emp-100,Référent,60,2026-06-01,,true
assignment-emp-100-2,proj-17,emp-100,Contributeur,30,2026-02-07,,true
