id,employee_id,score,source,pulse_label,comment,trend,risk_band,source_signals,captured_at
engagement-emp-demo-karim-0,emp-demo-karim,85,survey,stable,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2024-09-15T10:00:00+00:00
engagement-emp-demo-karim-1,emp-demo-karim,83,pulse,boost,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 1, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-10-15T10:00:00+00:00
engagement-emp-demo-karim-2,emp-demo-karim,86,survey,engaged,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-11-15T10:00:00+00:00
engagement-emp-demo-karim-3,emp-demo-karim,90,survey,stable,Mesure mensuelle d'engagement.,4,low,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-12-15T10:00:00+00:00
engagement-emp-demo-karim-4,emp-demo-karim,87,survey,stable,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 2, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-01-15T10:00:00+00:00
engagement-emp-demo-karim-5,emp-demo-karim,85,pulse,engaged,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-02-15T10:00:00+00:00
engagement-emp-demo-karim-6,emp-demo-karim,82,survey,engaged,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 3, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-03-15T10:00:00+00:00
engagement-emp-demo-karim-7,emp-demo-karim,80,manager_review,stable,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2025-04-15T10:00:00+00:00
engagement-emp-demo-karim-8,emp-demo-karim,80,manager_review,stable,Mesure mensuelle d'engagement.,0,low,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-05-15T10:00:00+00:00
engagement-emp-demo-karim-9,emp-demo-karim,79,manager_review,stable,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 1, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-06-15T10:00:00+00:00
engagement-emp-demo-karim-10,emp-demo-karim,80,pulse,watch,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-07-15T10:00:00+00:00
engagement-emp-demo-karim-11,emp-demo-karim,83,pulse,watch,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-08-15T10:00:00+00:00
engagement-emp-demo-karim-12,emp-demo-karim,87,manager_review,watch,Mesure mensuelle d'engagement.,4,low,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-09-15T10:00:00+00:00
engagement-emp-demo-karim-13,emp-demo-karim,88,survey,watch,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-10-15T10:00:00+00:00
engagement-emp-demo-karim-14,emp-demo-karim,84,pulse,watch,Mesure mensuelle d'engagement.,-4,low,"{""absences_30j"": 1, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2025-11-15T10:00:00+00:00
engagement-emp-demo-karim-15,emp-demo-karim,83,pulse,engaged,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-12-15T10:00:00+00:00
engagement-emp-demo-karim-16,emp-demo-karim,84,manager_review,engaged,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-01-15T10:00:00+00:00
engagement-emp-demo-karim-17,emp-demo-karim,87,pulse,stable,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 3, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2026-02-15T10:00:00+00:00
engagement-emp-demo-karim-18,emp-demo-karim,89,manager_review,boost,Mesure mensuelle d'engagement.,2,low,"{""absences_30j"": 1, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2026-03-15T10:00:00+00:00
engagement-emp-demo-karim-19,emp-demo-karim,91,survey,watch,Mesure mensuelle d'engagement.,2,low,"{""absences_30j"": 0, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2026-04-15T10:00:00+00:00
engagement-emp-demo-karim-20,emp-demo-karim,90,manager_review,engaged,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 3, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2026-05-15T10:00:00+00:00
engagement-emp-demo-karim-21,emp-demo-karim,87,survey,boost,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 0, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2026-06-15T10:00:00+00:00
engagement-emp-demo-sara-0,emp-demo-sara,69,pulse,engaged,Mesure mensuelle d'engagement.,4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-06-15T10:00:00+00:00
engagement-emp-demo-sara-1,emp-demo-sara,72,pulse,stable,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2023-07-15T10:00:00+00:00
engagement-emp-demo-sara-2,emp-demo-sara,71,survey,watch,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2023-08-15T10:00:00+00:00
engagement-emp-demo-sara-3,emp-demo-sara,69,pulse,engaged,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2023-09-15T10:00:00+00:00
engagement-emp-demo-sara-4,emp-demo-sara,65,survey,boost,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-10-15T10:00:00+00:00
engagement-emp-demo-sara-5,emp-demo-sara,64,pulse,boost,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2023-11-15T10:00:00+00:00
engagement-emp-demo-sara-6,emp-demo-sara,62,manager_review,engaged,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-12-15T10:00:00+00:00
engagement-emp-demo-sara-7,emp-demo-sara,65,pulse,stable,Mesure mensuelle d'engagement.,3,medium,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-01-15T10:00:00+00:00
engagement-emp-demo-sara-8,emp-demo-sara,69,pulse,boost,Mesure mensuelle d'engagement.,4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-02-15T10:00:00+00:00
engagement-emp-demo-sara-9,emp-demo-sara,70,manager_review,boost,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-03-15T10:00:00+00:00
engagement-emp-demo-sara-10,emp-demo-sara,69,pulse,stable,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 1, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2024-04-15T10:00:00+00:00
engagement-emp-demo-sara-11,emp-demo-sara,66,manager_review,boost,Mesure mensuelle d'engagement.,-3,medium,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-05-15T10:00:00+00:00
engagement-emp-demo-sara-12,emp-demo-sara,64,pulse,watch,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2024-06-15T10:00:00+00:00
engagement-emp-demo-sara-13,emp-demo-sara,63,manager_review,engaged,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2024-07-15T10:00:00+00:00
engagement-emp-demo-sara-14,emp-demo-sara,60,manager_review,stable,Mesure mensuelle d'engagement.,-3,medium,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2024-08-15T10:00:00+00:00
engagement-emp-demo-sara-15,emp-demo-sara,61,survey,stable,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2024-09-15T10:00:00+00:00
engagement-emp-demo-sara-16,emp-demo-sara,63,manager_review,boost,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-10-15T10:00:00+00:00
engagement-emp-demo-sara-17,emp-demo-sara,59,survey,watch,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-11-15T10:00:00+00:00
engagement-emp-demo-sara-18,emp-demo-sara,62,manager_review,stable,Mesure mensuelle d'engagement.,3,medium,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-12-15T10:00:00+00:00
engagement-emp-demo-sara-19,emp-demo-sara,58,manager_review,stable,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-01-15T10:00:00+00:00
engagement-emp-demo-sara-20,emp-demo-sara,59,pulse,stable,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-02-15T10:00:00+00:00
engagement-emp-demo-sara-21,emp-demo-sara,60,pulse,watch,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-03-15T10:00:00+00:00
engagement-emp-demo-sara-22,emp-demo-sara,58,manager_review,stable,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2025-04-15T10:00:00+00:00
engagement-emp-demo-sara-23,emp-demo-sara,61,survey,boost,Mesure mensuelle d'engagement.,3,medium,"{""absences_30j"": 3, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2025-05-15T10:00:00+00:00
engagement-emp-demo-sara-24,emp-demo-sara,57,manager_review,engaged,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-06-15T10:00:00+00:00
engagement-emp-demo-sara-25,emp-demo-sara,56,survey,boost,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-07-15T10:00:00+00:00
engagement-emp-demo-sara-26,emp-demo-sara,53,manager_review,watch,Mesure mensuelle d'engagement.,-3,high,"{""absences_30j"": 1, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-08-15T10:00:00+00:00
engagement-emp-demo-sara-27,emp-demo-sara,57,manager_review,boost,Mesure mensuelle d'engagement.,4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-09-15T10:00:00+00:00
engagement-emp-demo-sara-28,emp-demo-sara,58,survey,watch,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-10-15T10:00:00+00:00
engagement-emp-demo-sara-29,emp-demo-sara,57,survey,stable,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-11-15T10:00:00+00:00
engagement-emp-demo-sara-30,emp-demo-sara,59,manager_review,engaged,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-12-15T10:00:00+00:00
engagement-emp-demo-sara-31,emp-demo-sara,59,survey,engaged,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2026-01-15T10:00:00+00:00
engagement-emp-demo-sara-32,emp-demo-sara,61,pulse,watch,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2026-02-15T10:00:00+00:00
engagement-emp-demo-sara-33,emp-demo-sara,57,survey,boost,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 1, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-03-15T10:00:00+00:00
engagement-emp-demo-sara-34,emp-demo-sara,53,survey,engaged,Mesure mensuelle d'engagement.,-4,high,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-04-15T10:00:00+00:00
engagement-emp-demo-sara-35,emp-demo-sara,57,pulse,engaged,Mesure mensuelle d'engagement.,4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2026-05-15T10:00:00+00:00
engagement-emp-demo-sara-36,emp-demo-sara,56,manager_review,boost,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2026-06-15T10:00:00+00:00
engagement-emp-demo-admin-0,emp-demo-admin,71,pulse,stable,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 0, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2024-01-15T10:00:00+00:00
engagement-emp-demo-admin-1,emp-demo-admin,71,manager_review,boost,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 1, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-02-15T10:00:00+00:00
engagement-emp-demo-admin-2,emp-demo-admin,69,survey,boost,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 3, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2024-03-15T10:00:00+00:00
engagement-emp-demo-admin-3,emp-demo-admin,70,survey,engaged,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-04-15T10:00:00+00:00
engagement-emp-demo-admin-4,emp-demo-admin,66,survey,engaged,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-05-15T10:00:00+00:00
engagement-emp-demo-admin-5,emp-demo-admin,67,survey,watch,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 3, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-06-15T10:00:00+00:00
engagement-emp-demo-admin-6,emp-demo-admin,65,pulse,stable,Mesure mensuelle d'engagement.,-2,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-07-15T10:00:00+00:00
engagement-emp-demo-admin-7,emp-demo-admin,62,pulse,stable,Mesure mensuelle d'engagement.,-3,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2024-08-15T10:00:00+00:00
engagement-emp-demo-admin-8,emp-demo-admin,62,pulse,engaged,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 2, ""overdue_tasks"": 1, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-09-15T10:00:00+00:00
engagement-emp-demo-admin-9,emp-demo-admin,64,manager_review,stable,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2024-10-15T10:00:00+00:00
engagement-emp-demo-admin-10,emp-demo-admin,65,manager_review,stable,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 1, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2024-11-15T10:00:00+00:00
engagement-emp-demo-admin-11,emp-demo-admin,65,manager_review,engaged,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-12-15T10:00:00+00:00
engagement-emp-demo-admin-12,emp-demo-admin,68,survey,watch,Mesure mensuelle d'engagement.,3,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2025-01-15T10:00:00+00:00
engagement-emp-demo-admin-13,emp-demo-admin,68,survey,watch,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 3, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2025-02-15T10:00:00+00:00
engagement-emp-demo-admin-14,emp-demo-admin,70,survey,watch,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 3, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2025-03-15T10:00:00+00:00
engagement-emp-demo-admin-15,emp-demo-admin,69,pulse,stable,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-04-15T10:00:00+00:00
engagement-emp-demo-admin-16,emp-demo-admin,71,pulse,stable,Mesure mensuelle d'engagement.,2,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2025-05-15T10:00:00+00:00
engagement-emp-demo-admin-17,emp-demo-admin,75,survey,engaged,Mesure mensuelle d'engagement.,4,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2025-06-15T10:00:00+00:00
engagement-emp-demo-admin-18,emp-demo-admin,79,pulse,engaged,Mesure mensuelle d'engagement.,4,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-07-15T10:00:00+00:00
engagement-emp-demo-admin-19,emp-demo-admin,80,pulse,boost,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 0, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2025-08-15T10:00:00+00:00
engagement-emp-demo-admin-20,emp-demo-admin,81,pulse,stable,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-09-15T10:00:00+00:00
engagement-emp-demo-admin-21,emp-demo-admin,79,manager_review,engaged,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2025-10-15T10:00:00+00:00
engagement-emp-demo-admin-22,emp-demo-admin,79,pulse,watch,Mesure mensuelle d'engagement.,0,low,"{""absences_30j"": 1, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-11-15T10:00:00+00:00
engagement-emp-demo-admin-23,emp-demo-admin,76,pulse,engaged,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2025-12-15T10:00:00+00:00
engagement-emp-demo-admin-24,emp-demo-admin,75,survey,stable,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 2, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2026-01-15T10:00:00+00:00
engagement-emp-demo-admin-25,emp-demo-admin,78,survey,engaged,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 2, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2026-02-15T10:00:00+00:00
engagement-emp-demo-admin-26,emp-demo-admin,78,survey,watch,Mesure mensuelle d'engagement.,0,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-03-15T10:00:00+00:00
engagement-emp-demo-admin-27,emp-demo-admin,75,survey,stable,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2026-04-15T10:00:00+00:00
engagement-emp-demo-admin-28,emp-demo-admin,75,pulse,boost,Mesure mensuelle d'engagement.,0,low,"{""absences_30j"": 3, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2026-05-15T10:00:00+00:00
engagement-emp-demo-admin-29,emp-demo-admin,72,pulse,watch,Mesure mensuelle d'engagement.,-3,low,"{""absences_30j"": 0, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2026-06-15T10:00:00+00:00
engagement-emp-1-0,emp-1,74,manager_review,boost,Mesure mensuelle d'engagement.,-4,low,"{""absences_30j"": 3, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-06-15T10:00:00+00:00
engagement-emp-1-1,emp-1,76,manager_review,engaged,Mesure mensuelle d'engagement.,2,low,"{""absences_30j"": 3, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2023-07-15T10:00:00+00:00
engagement-emp-1-2,emp-1,74,survey,engaged,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 3, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-08-15T10:00:00+00:00
engagement-emp-1-3,emp-1,74,survey,boost,Mesure mensuelle d'engagement.,0,low,"{""absences_30j"": 0, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2023-09-15T10:00:00+00:00
engagement-emp-1-4,emp-1,73,survey,boost,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 3, ""overdue_tasks"": 0, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2023-10-15T10:00:00+00:00
engagement-emp-1-5,emp-1,69,manager_review,boost,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 1, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2023-11-15T10:00:00+00:00
engagement-emp-1-6,emp-1,68,survey,watch,Mesure mensuelle d'engagement.,-1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2023-12-15T10:00:00+00:00
engagement-emp-1-7,emp-1,64,pulse,stable,Mesure mensuelle d'engagement.,-4,medium,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2024-01-15T10:00:00+00:00
engagement-emp-1-8,emp-1,68,manager_review,boost,Mesure mensuelle d'engagement.,4,medium,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2024-02-15T10:00:00+00:00
engagement-emp-1-9,emp-1,68,pulse,stable,Mesure mensuelle d'engagement.,0,medium,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 1}",2024-03-15T10:00:00+00:00
engagement-emp-1-10,emp-1,69,manager_review,stable,Mesure mensuelle d'engagement.,1,medium,"{""absences_30j"": 2, ""overdue_tasks"": 4, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2024-04-15T10:00:00+00:00
